ABS,ACV,ADM,AVP,BF,BUD,CAG,CCE,CL,CLX,COST,CPB,CVS,DF,EL,G,GIS,HNZ,HSY,K,KFT,KMB,KO,KR,MKC,MO,PBG,PEP,PG,RAI,RJR,RKY,SLE,STZ,SVU,SWY,SYY,TAP,TSN,UST,WAG,WFMI,WIN,WMT,WWY
20030331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0
20030930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
20040331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
20040930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0
20050331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0
20060531,12793808.0,6221271.0,31951076.0,17309722.0,9309439.0,38713674.0,14853669.0,8767927.0,34414497.0,12589217.0,28209414.0,9694986.0,25906433.0,4891257.0,4954518.0,,21519094.0,17750621.0,13052650.0,14845732.0,,30977374.0,53955771.0,17654368.0,7578759.0,153248442.0,7146398.0,51097467.0,181098652.0,12633205.0,,,15492931.0,7460265.0,6372831.0,13371393.0,21778556.0,6392490.0,6579486.0,10164242.0,44164396.0,9190480.0,,122847882.0,12539739.0
20060630,,6782798.0,32883111.0,17492804.0,9046785.0,39826695.0,15079595.0,9435567.0,35302365.0,12547260.0,31370940.0,10557869.0,29542487.0,5301732.0,4841445.0,,22145402.0,17861244.0,12909730.0,15272110.0,,32511951.0,54189111.0,19787781.0,7678085.0,160854436.0,7512105.0,52288055.0,191389767.0,13687032.0,,,15119708.0,7848175.0,10424107.0,15302014.0,22481372.0,6932992.0,6309571.0,10662987.0,50298239.0,9440413.0,,126351741.0,12855750.0
20060731,,7937553.0,41064672.0,19127660.0,10868397.0,49319467.0,17144745.0,11619496.0,40990773.0,14531794.0,33976807.0,12299281.0,36899424.0,6255575.0,5463237.0,,26090701.0,21257889.0,15072554.0,17765481.0,,37726458.0,65712839.0,24269892.0,9378059.0,205304582.0,9086128.0,64711107.0,226728391.0,17591612.0,,,18647105.0,9084224.0,10850750.0,19322747.0,23812700.0,8532130.0,7022942.0,13946442.0,61507373.0,9931114.0,,136798029.0,15195161.0
20060831,,8474945.0,40159894.0,19898556.0,11905034.0,52866030.0,19838204.0,12620217.0,43232269.0,15156093.0,31494770.0,13166782.0,39544781.0,6902993.0,5640280.0,,28492767.0,22225450.0,15548034.0,19648075.0,,41015158.0,69256185.0,26461815.0,10182049.0,224432246.0,10000957.0,69755401.0,261362846.0,18986385.0,,,19179512.0,10591768.0,11946734.0,22334336.0,28305713.0,8774846.0,7641350.0,15328819.0,68068682.0,9677767.0,,143886063.0,16076731.0
20060930,,8866403.0,36893188.0,21052996.0,11182928.0,50424976.0,20027969.0,10695143.0,44851290.0,15819111.0,33127469.0,15804391.0,37865947.0,7249837.0,6668041.0,,29460300.0,21921926.0,15138483.0,19547871.0,,41930205.0,68413525.0,25481444.0,10518751.0,205309626.0,10260636.0,69253651.0,252226866.0,17917076.0,,,18492070.0,11772114.0,12768268.0,21532536.0,30053554.0,6844871.0,8162272.0,15753317.0,60683927.0,10748688.0,,155454273.0,15735432.0
20061031,,9385115.0,39659505.0,22007839.0,11100728.0,53221742.0,22550766.0,10839615.0,48860478.0,17267734.0,37518293.0,17179698.0,39132303.0,7615351.0,7039290.0,,31171338.0,23234755.0,15795540.0,20934192.0,,45123177.0,75569974.0,26273043.0,10918893.0,230572339.0,9633223.0,71185326.0,272557983.0,19397194.0,,,20741684.0,11852341.0,15161696.0,21956612.0,33249714.0,7452546.0,7935492.0,16221878.0,63140532.0,12169692.0,,164163014.0,18706572.0
20061130,,,33203512.0,21718395.0,9835440.0,48970837.0,20415720.0,10186002.0,45628347.0,15704320.0,33802865.0,16046810.0,32942743.0,7110946.0,6635097.0,,28200255.0,22565531.0,14566114.0,19095011.0,,41409215.0,69574769.0,23009712.0,10428884.0,219347682.0,8790522.0,63865600.0,248059430.0,18097436.0,,,18528946.0,11124484.0,14337091.0,21223807.0,31282961.0,6835621.0,7990461.0,15615341.0,53753269.0,8571037.0,,141091355.0,17396446.0
20061231,,,30717619.0,22141426.0,9531340.0,51525487.0,21792024.0,10334215.0,46252746.0,15993365.0,33986475.0,15702926.0,35960261.0,7133904.0,6541854.0,,28641370.0,23035623.0,13744302.0,19510284.0,,43009360.0,72832700.0,24914908.0,10552368.0,227124003.0,8814790.0,65170282.0,257291320.0,18739740.0,,,18962633.0,11722774.0,14751844.0,24077779.0,32590791.0,7469411.0,8404552.0,16494637.0,61557718.0,8374940.0,,143457154.0,17432433.0
20070131,,,32672288.0,24515599.0,9995916.0,56643267.0,21968707.0,11087613.0,51361873.0,17378954.0,38370153.0,16452624.0,41591198.0,7905086.0,8061130.0,,30252771.0,25649254.0,15004280.0,20446360.0,,46623475.0,76714677.0,29399552.0,11311489.0,245568085.0,9655374.0,72185646.0,275599806.0,19546790.0,,,20318360.0,10578972.0,16595741.0,26697005.0,32432396.0,8361022.0,9602715.0,17237514.0,64534924.0,8292869.0,,157247665.0,18386767.0
20070228,,,33246388.0,24684644.0,9424861.0,51517607.0,20363436.0,10253594.0,47984772.0,15897784.0,36056372.0,16596497.0,36774388.0,7599599.0,7673297.0,,28137505.0,23585849.0,14684247.0,19565545.0,,43219609.0,70742886.0,27846046.0,10478480.0,224000733.0,8939656.0,65997497.0,255123518.0,17560056.0,,,18420123.0,9476784.0,15362017.0,24195370.0,29320656.0,8251139.0,9324199.0,16454959.0,60162625.0,8663376.0,,150636977.0,16884889.0
20070331,,,37517493.0,26513843.0,10167045.0,56060757.0,21232063.0,11118911.0,50578798.0,17073824.0,36544708.0,16974838.0,79617621.0,8187446.0,7714734.0,,31159984.0,25439475.0,16171598.0,21471768.0,7705530.0,46153014.0,76560000.0,32219295.0,11184667.0,249115038.0,9457426.0,70679801.0,269436139.0,19199937.0,,,19793490.0,9195678.0,17523598.0,27143205.0,31967422.0,10211485.0,10667755.0,17636009.0,65702824.0,8565094.0,,156078749.0,18351352.0
20070430,,,40828307.0,29275885.0,10191721.0,56454330.0,21664812.0,12383199.0,52997134.0,18485034.0,37527928.0,17516448.0,87294078.0,6559950.0,8347369.0,,33134344.0,26294494.0,16714325.0,22842305.0,76622402.0,49477384.0,85986887.0,34784617.0,11079578.0,201908239.0,10002424.0,75913419.0,283276868.0,20322354.0,,,19853277.0,10001426.0,21162103.0,27796108.0,31973000.0,10458575.0,11841687.0,17722646.0,64925247.0,9184503.0,,164507970.0,21809446.0
20070531,,,35912952.0,27406352.0,10526511.0,59365126.0,21742065.0,12749474.0,50810922.0,17898114.0,38425012.0,17204988.0,89805715.0,5706464.0,7428229.0,,32867569.0,25689536.0,15507598.0,22544747.0,75111602.0,47917727.0,84641669.0,34676014.0,10766965.0,201885108.0,10318726.0,76097276.0,271306580.0,19897037.0,,,20949229.0,9613542.0,21248012.0,25540819.0,31385241.0,9827201.0,12182109.0,16149033.0,64719895.0,7805219.0,,158388952.0,20996907.0
20070630,,,32801422.0,25182276.0,10898274.0,55815164.0,21860871.0,12672840.0,47320850.0,16010808.0,37953731.0,16265193.0,82349043.0,5369075.0,6912832.0,,30325705.0,24785891.0,14402453.0,20919224.0,73943009.0,43686862.0,80486886.0,31115690.0,10661116.0,192619380.0,9605435.0,69359799.0,251789813.0,19288377.0,,,19694242.0,9290499.0,19979808.0,24378548.0,30236622.0,9597533.0,12177723.0,15710712.0,60390154.0,7033565.0,,152467807.0,18958830.0
20070731,,,34885099.0,25847222.0,10377662.0,54835184.0,21611585.0,12534878.0,50612298.0,16465374.0,40756092.0,16163840.0,83534268.0,5079689.0,7328941.0,,30389600.0,23933788.0,13733928.0,21919568.0,72125194.0,46017120.0,84231959.0,30075231.0,9992278.0,191868513.0,9996610.0,73725973.0,267326815.0,18953892.0,,,18917260.0,8790048.0,18826756.0,24088206.0,30605756.0,9824401.0,11793469.0,16405632.0,64181391.0,7127311.0,,152888194.0,20708216.0
20070831,,,36378982.0,25778885.0,11624493.0,57749045.0,22917277.0,13836323.0,52877002.0,16931473.0,43755309.0,17224381.0,93506130.0,4933161.0,7038733.0,,31744143.0,25810914.0,14399469.0,24296857.0,73540510.0,45798096.0,90539813.0,32017417.0,10901238.0,208683594.0,10745833.0,79610543.0,293964816.0,21300955.0,,,,10077571.0,19932904.0,24934227.0,33467723.0,10270992.0,12408102.0,15696222.0,68279743.0,8857400.0,,151202514.0,21745715.0
20070930,,,40389985.0,31741185.0,15313252.0,66075382.0,26177504.0,16389916.0,64947130.0,17988757.0,48867642.0,19956653.0,107679466.0,5373693.0,7970931.0,,36017829.0,29701148.0,16157085.0,29916544.0,89047499.0,53501515.0,109615347.0,39251135.0,12499647.0,239402220.0,14121032.0,97297925.0,359140425.0,23411740.0,,,23379102.0,11531562.0,21294701.0,29711457.0,40274890.0,18626728.0,12848591.0,18049490.0,81284923.0,11193627.0,,171417217.0,27746653.0
