"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 21","707.72","699.18","711.86","693.03","109.22M","1.18%"
"Mar 21","699.46","654.41","711.65","644.47","3.42B","7.71%"
"Feb 21","649.39","660.00","682.92","649.09","2.45B","-1.50%"
"Jan 21","659.25","695.33","695.97","659.03","2.88B","-5.32%"
"Dec 20","696.32","689.49","697.47","681.62","2.57B","1.45%"
"Nov 20","686.37","649.05","698.78","644.94","2.52B","7.34%"
"Oct 20","639.46","660.64","687.66","632.13","2.28B","-2.99%"
"Sep 20","659.14","671.07","691.92","636.10","3.06B","-1.85%"
"Aug 20","671.53","641.64","673.88","637.33","2.24B","4.60%"
"Jul 20","642.01","601.36","645.40","601.14","2.76B","6.77%"
"Jun 20","601.33","605.92","623.19","582.49","3.65B","-0.73%"
"May 20","605.78","593.99","608.30","572.99","3.22B","1.38%"
"Apr 20","597.56","544.62","623.70","542.43","3.48B","6.64%"
"Mar 20","560.33","598.39","650.33","491.31","5.55B","-5.86%"
"Feb 20","595.21","650.63","665.58","575.44","2.60B","-8.18%"
"Jan 20","648.25","647.79","660.84","637.09","2.49B","0.20%"
"Dec 19","646.97","633.46","651.63","630.15","2.27B","2.03%"
"Nov 19","634.09","628.39","635.90","619.03","2.25B","1.08%"
"Oct 19","627.29","629.94","631.63","613.23","2.55B","-0.33%"
"Sep 19","629.38","619.43","632.38","615.25","2.62B","1.31%"
"Aug 19","621.27","613.19","626.33","589.58","2.97B","1.64%"
"Jul 19","611.23","600.41","627.34","597.00","2.40B","2.33%"
"Jun 19","597.34","571.14","607.81","570.45","1.49B","4.81%"
"May 19","569.93","594.18","598.27","568.98","-","-3.99%"
"Apr 19","593.64","580.90","594.15","568.64","-","2.33%"
"Mar 19","580.11","561.29","580.64","551.88","-","3.67%"
"Feb 19","559.56","548.51","563.74","544.27","-","2.12%"
"Jan 19","547.94","517.65","549.78","513.47","-","4.99%"
"Dec 18","521.88","575.99","578.84","496.77","-","-9.46%"
"Nov 18","576.42","566.12","585.95","556.88","-","1.72%"
"Oct 18","566.68","555.95","572.14","534.47","-","2.12%"
"Sep 18","554.91","550.49","567.81","548.89","-","0.62%"
"Aug 18","551.48","548.55","566.91","543.73","-","0.34%"
"Jul 18","549.60","527.59","551.62","522.79","-","3.88%"
"Jun 18","529.08","508.82","534.26","506.57","-","4.15%"
"May 18","508.01","514.44","517.47","500.20","-","-1.79%"
"Apr 18","517.25","540.27","550.46","510.00","-","-4.52%"
"Mar 18","541.73","548.04","563.80","522.83","-","-1.32%"
"Feb 18","548.98","594.14","596.43","541.99","-","-7.84%"
"Jan 18","595.65","588.46","606.90","581.40","-","1.41%"
"Dec 17","587.39","576.08","592.57","569.05","-","1.97%"
"Nov 17","576.07","547.08","577.57","540.27","-","5.40%"
"Oct 17","546.55","555.68","563.77","541.66","-","-1.59%"
"Sep 17","555.39","562.68","571.65","552.86","-","-1.14%"
"Aug 17","561.81","570.01","574.92","558.36","-","-1.27%"
"Jul 17","569.04","568.23","575.37","555.50","-","0.39%"
"Jun 17","566.83","581.97","588.43","563.80","-","-2.53%"
"May 17","581.55","566.67","583.05","559.47","-","2.65%"
"Apr 17","566.54","562.28","573.02","559.82","-","0.85%"
"Mar 17","561.79","566.55","569.99","560.48","-","-0.71%"
"Feb 17","565.79","537.84","567.63","535.44","-","4.87%"
"Jan 17","539.51","533.33","544.88","527.82","-","1.45%"
"Dec 16","531.79","515.36","538.48","511.00","-","2.90%"
"Nov 16","516.81","541.44","542.17","514.53","-","-4.52%"
"Oct 16","541.27","545.75","545.75","531.09","-","-0.96%"
"Sep 16","546.54","555.93","561.74","538.14","-","-1.75%"
"Aug 16","556.26","559.81","564.55","553.92","-","-0.67%"
"Jul 16","560.03","565.10","574.63","553.25","-","-0.88%"
"Jun 16","564.99","538.87","565.02","538.87","-","4.81%"
"May 16","539.07","535.87","553.35","528.95","-","0.64%"
"Apr 16","535.63","542.99","550.81","527.73","-","-1.46%"
"Mar 16","543.56","522.33","546.51","522.33","-","4.32%"
"Feb 16","521.06","519.99","531.30","501.04","-","0.06%"
"Jan 16","520.74","516.81","520.98","485.84","-","0.45%"
"Dec 15","518.42","506.55","526.54","502.14","-","2.51%"
"Nov 15","505.71","512.61","515.01","490.11","-","-1.27%"
"Oct 15","512.23","485.08","523.97","479.32","-","5.63%"
"Sep 15","484.91","483.78","496.14","471.56","-","0.13%"
"Aug 15","484.29","515.20","522.68","455.26","-","-6.00%"
"Jul 15","515.20","489.64","517.54","489.64","-","5.30%"
"Jun 15","489.27","500.24","504.33","485.79","-","-2.16%"
"May 15","500.09","496.73","510.53","496.02","-","0.73%"
"Apr 15","496.49","501.35","511.16","494.73","-","-0.97%"
"Mar 15","501.33","513.93","514.93","489.23","-","-2.43%"
"Feb 15","513.82","493.35","514.65","490.33","-","4.17%"
"Jan 15","493.24","500.00","516.61","492.56","-","-1.27%"
"Dec 14","499.58","506.03","511.40","485.95","-","-1.37%"
"Nov 14","506.50","480.96","507.94","480.13","-","5.32%"
"Oct 14","480.90","464.79","481.73","450.54","-","3.40%"
"Sep 14","465.07","463.91","469.96","460.80","-","0.28%"
"Aug 14","463.79","442.99","464.44","442.93","-","4.57%"
"Jul 14","443.51","459.57","468.08","443.51","-","-3.44%"
"Jun 14","459.33","461.41","467.72","455.96","-","-0.53%"
"May 14","461.78","453.71","462.06","449.71","-","1.75%"
"Apr 14","453.85","441.72","455.55","438.68","-","2.70%"
"Mar 14","441.92","432.64","442.63","429.09","-","1.88%"
"Feb 14","433.77","419.27","435.59","409.40","-","3.49%"
"Jan 14","419.15","442.18","442.18","415.00","-","-5.30%"
"Dec 13","442.62","441.65","444.31","428.70","-","0.24%"
"Nov 13","441.58","435.61","446.69","433.77","-","1.42%"
"Oct 13","435.38","410.10","441.48","407.71","-","6.13%"
"Sep 13","410.24","406.96","428.16","404.64","-","0.96%"
"Aug 13","406.32","426.21","430.97","402.16","-","-4.54%"
"Jul 13","425.66","410.18","431.55","409.48","-","3.88%"
"Jun 13","409.77","412.28","424.10","401.63","-","-0.61%"
"May 13","412.30","422.19","434.67","412.30","-","-2.39%"
"Apr 13","422.39","410.33","428.01","407.95","-","2.90%"
"Mar 13","410.47","392.22","410.71","391.11","-","4.50%"
"Feb 13","392.78","381.47","396.88","380.30","-","3.06%"
"Jan 13","381.12","361.94","382.83","361.94","496.40M","5.64%"
"Dec 12","360.78","370.42","373.81","355.57","2.95B","-2.54%"
"Nov 12","370.18","365.31","370.73","349.66","3.34B","1.43%"
"Oct 12","364.96","369.94","377.55","362.03","3.45B","-1.35%"
"Sep 12","369.97","365.92","374.11","363.53","3.43B","1.11%"
"Aug 12","365.92","368.30","371.33","362.01","3.39B","-0.65%"
"Jul 12","368.30","358.92","369.76","355.55","3.63B","2.61%"
"Jun 12","358.92","347.33","358.92","340.25","3.98B","3.34%"
"May 12","347.33","351.85","354.55","343.75","3.89B","-1.28%"
"Apr 12","351.85","351.49","354.88","344.62","3.65B","0.10%"
"Mar 12","351.49","341.18","352.16","338.29","3.39B","3.02%"
"Feb 12","341.20","329.84","342.29","329.84","3.53B","3.44%"
"Jan 12","329.84","335.54","338.63","328.18","3.27B","-1.70%"
"Dec 11","335.54","327.60","338.05","322.76","3.18B","2.42%"
"Nov 11","327.60","319.89","333.21","310.84","3.51B","2.41%"
"Oct 11","319.89","306.71","326.83","296.13","3.87B","4.30%"
"Sep 11","306.71","318.48","320.76","302.31","4.34B","-3.70%"
"Aug 11","318.50","317.34","320.33","290.39","5.79B","0.37%"
"Jul 11","317.34","322.66","329.50","317.14","3.22B","-1.65%"
"Jun 11","322.66","331.93","331.93","315.55","3.81B","-2.85%"
"May 11","332.13","324.45","333.87","322.22","3.54B","2.37%"
"Apr 11","324.45","308.85","324.92","308.85","3.13B","5.05%"
"Mar 11","308.85","305.42","310.02","294.81","4.20B","1.12%"
"Feb 11","305.42","298.26","307.16","298.26","3.83B","2.40%"
"Jan 11","298.26","303.58","306.24","297.39","3.94B","-1.75%"
"Dec 10","303.58","292.20","305.39","292.20","3.61B","3.83%"
"Nov 10","292.38","296.38","301.77","291.28","3.77B","-1.35%"
"Oct 10","296.38","288.27","298.79","287.20","3.71B","2.81%"
"Sep 10","288.27","273.37","291.35","273.37","3.54B","5.38%"
"Aug 10","273.56","277.97","283.19","271.99","3.94B","-1.59%"
"Jul 10","277.97","262.62","282.44","260.78","4.01B","5.84%"
"Jun 10","262.64","270.21","277.35","262.11","5.29B","-2.80%"
"May 10","270.21","283.64","285.89","265.14","5.41B","-4.73%"
"Apr 10","283.64","288.13","290.28","281.59","3.89B","-1.56%"
"Mar 10","288.13","278.19","290.43","278.19","4.36B","3.57%"
"Feb 10","278.19","270.88","280.73","265.58","4.28B","2.70%"
"Jan 10","270.88","274.30","280.13","270.37","3.86B","-1.25%"
"Dec 09","274.30","276.11","281.32","269.99","3.67B","-0.66%"
"Nov 09","276.11","265.94","281.15","265.54","3.92B","3.82%"
"Oct 09","265.94","263.18","274.92","259.95","4.40B","1.04%"
"Sep 09","263.19","254.89","265.15","251.45","4.45B","3.26%"
"Aug 09","254.89","252.85","256.90","247.42","3.85B","0.81%"
"Jul 09","252.85","238.16","256.47","236.57","4.13B","6.16%"
"Jun 09","238.18","237.76","246.22","233.49","4.49B","0.18%"
"May 09","237.75","225.41","238.84","223.32","4.30B","5.47%"
"Apr 09","225.41","218.74","229.32","216.44","4.39B","3.04%"
"Mar 09","218.77","211.27","226.23","199.30","5.37B","3.55%"
"Feb 09","211.27","227.76","233.03","209.85","4.72B","-7.24%"
"Jan 09","227.76","246.66","252.42","226.92","4.75B","-7.66%"
"Dec 08","246.66","248.55","249.05","232.46","4.81B","-0.77%"
"Nov 08","248.57","253.68","260.59","221.47","5.46B","-2.01%"
"Oct 08","253.68","285.26","289.46","225.34","7.76B","-11.08%"
"Sep 08","285.30","289.98","301.20","277.85","5.56B","-1.61%"
"Aug 08","289.98","282.87","299.59","281.98","3.98B","2.51%"
"Jul 08","282.87","273.94","287.77","271.86","5.34B","3.25%"
"Jun 08","273.97","293.82","295.34","273.31","4.63B","-6.76%"
"May 08","293.82","290.10","295.12","286.86","3.86B","1.28%"
"Apr 08","290.10","291.22","295.61","287.97","4.07B","-0.38%"
"Mar 08","291.22","282.82","292.87","277.77","3.76B","2.97%"
"Feb 08","282.83","283.56","290.04","277.67","3.63B","-0.26%"
"Jan 08","283.56","299.52","302.83","274.03","4.77B","-5.34%"
"Dec 07","299.55","303.32","307.71","297.89","2.89B","-1.25%"
"Nov 07","303.33","294.91","303.54","288.07","3.65B","2.86%"
"Oct 07","294.91","290.10","295.52","286.85","3.61B","1.66%"
"Sep 07","290.10","278.51","290.21","274.82","2.80B","4.16%"
"Aug 07","278.51","271.80","285.42","269.23","4.18B","2.47%"
"Jul 07","271.80","278.44","285.16","270.88","3.61B","-2.38%"
"Jun 07","278.44","284.69","287.19","275.55","3.72B","-2.20%"
"May 07","284.69","281.34","286.05","277.68","3.70B","1.19%"
"Apr 07","281.34","272.68","284.18","272.68","3.49B","3.18%"
"Mar 07","272.68","268.63","274.13","261.33","3.68B","1.51%"
"Feb 07","268.63","273.35","276.69","264.07","2.55B","-1.73%"
"Jan 07","273.35","268.38","274.26","267.84","2.60B","1.84%"
"Dec 06","268.41","262.66","270.16","260.24","2.26B","2.19%"
"Nov 06","262.66","265.52","266.03","260.25","2.93B","-1.08%"
"Oct 06","265.52","260.75","267.64","258.44","2.99B","1.83%"
"Sep 06","260.75","261.67","264.58","259.08","2.31B","-0.35%"
"Aug 06","261.67","252.59","262.43","250.52","2.23B","3.59%"
"Jul 06","252.59","248.12","254.43","245.95","2.17B","1.80%"
"Jun 06","248.12","245.19","250.36","240.34","2.39B","1.19%"
"May 06","245.19","244.01","248.60","241.15","2.64B","0.48%"
"Apr 06","244.01","242.52","244.65","237.33","1.96B","0.61%"
"Mar 06","242.52","242.07","248.54","241.05","2.32B","0.19%"
"Feb 06","242.07","239.75","245.64","236.78","1.98B","0.97%"
"Jan 06","239.75","240.17","243.42","238.17","2.34B","-0.17%"
"Dec 05","240.17","241.15","247.64","239.49","2.03B","-0.41%"
"Nov 05","241.15","239.43","244.96","237.25","1.93B","0.72%"
"Oct 05","239.43","240.47","241.18","232.68","2.32B","-0.43%"
"Sep 05","240.47","237.75","241.41","231.28","2.73B","1.14%"
"Aug 05","237.75","241.50","242.19","234.85","1.98B","-1.55%"
"Jul 05","241.50","234.24","243.33","232.23","1.76B","2.95%"
"Jun 05","234.58","239.02","242.08","233.51","1.89B","-2.11%"
"May 05","239.63","234.32","242.92","234.03","1.72B","2.04%"
"Apr 05","234.84","237.16","239.25","231.12","2.10B","-1.06%"
"Mar 05","237.36","239.79","244.23","234.58","2.12B","-1.01%"
"Feb 05","239.79","239.57","243.86","237.08","1.81B","0.09%"
"Jan 05","239.57","236.99","241.82","234.55","1.82B","1.09%"
"Dec 04","236.99","228.41","238.27","228.41","1.79B","3.76%"
"Nov 04","228.41","222.04","235.64","221.12","1.86B","2.87%"
"Oct 04","222.04","220.74","224.40","215.63","1.79B","0.59%"
"Sep 04","220.74","227.48","231.65","217.87","1.83B","-2.96%"
"Aug 04","227.48","223.29","228.71","220.05","1.56B","1.88%"
"Jul 04","223.29","234.95","235.84","222.03","1.68B","-4.97%"
"Jun 04","234.96","234.42","239.77","232.74","1.67B","0.23%"
"May 04","234.43","237.62","239.45","228.37","1.65B","-1.34%"
"Apr 04","237.62","234.99","240.05","232.92","1.64B","1.12%"
"Mar 04","234.99","236.37","239.45","227.91","1.84B","-0.58%"
"Feb 04","236.37","223.85","237.34","223.62","1.62B","5.67%"
"Jan 04","223.69","223.59","225.16","219.27","-","0.09%"
"Dec 03","223.50","219.96","223.50","217.25","-","1.66%"
"Nov 03","219.85","218.00","220.80","215.16","-","0.84%"
"Oct 03","218.01","208.18","218.35","208.17","-","4.83%"
"Sep 03","207.96","208.88","212.92","206.99","-","-0.48%"
"Aug 03","208.96","205.00","209.13","201.52","65.59M","1.92%"
"Jul 03","205.02","206.33","211.11","203.57","1.43B","-0.70%"
"Jun 03","206.47","205.00","212.16","205.00","1.40B","0.73%"
"May 03","204.97","195.81","206.11","192.69","1.57B","4.71%"
"Apr 03","195.75","190.25","198.06","188.84","1.39B","2.89%"
"Mar 03","190.25","191.61","199.47","182.56","1.46B","-0.59%"
"Feb 03","191.38","197.12","199.44","189.46","1.03B","-2.90%"
"Jan 03","197.10","204.67","211.81","192.34","1.19B","-3.68%"
"Dec 02","204.62","204.19","209.04","201.72","1.18B","0.23%"
"Nov 02","204.15","210.08","212.98","200.61","1.28B","-3.02%"
"Oct 02","210.51","203.68","218.83","203.65","1.69B","3.43%"
"Sep 02","203.53","219.32","222.74","200.33","1.32B","-7.50%"
"Aug 02","220.03","217.82","228.49","212.24","1.22B","0.96%"
"Jul 02","217.94","228.51","232.14","191.66","1.77B","-4.63%"
"Jun 02","228.52","243.33","244.34","224.26","1.33B","-6.10%"
"May 02","243.36","241.41","247.40","238.68","1.06B","0.82%"
"Apr 02","241.38","236.74","244.07","234.22","1.08B","1.85%"
"Mar 02","236.99","229.76","237.79","226.38","1.02B","3.28%"
"Feb 02","229.47","220.75","231.99","217.69","968.81M","3.99%"
"Jan 02","220.67","218.16","220.67","213.72","1.13B","1.04%"
"Dec 01","218.39","216.92","222.24","211.04","1.00B","0.50%"
"Nov 01","217.31","215.83","220.99","214.66","-","2.17%"
"Oct 01","212.70","213.43","217.12","210.16","-","-0.63%"
"Sep 01","214.05","221.22","223.64","204.42","-","-2.05%"
"Aug 01","218.53","208.31","221.84","208.25","-","4.05%"
"Jul 01","210.02","210.59","211.02","206.45","-","0.70%"
"Jun 01","208.55","215.51","216.34","206.25","-","-3.29%"
"May 01","215.65","216.91","218.97","212.99","-","1.79%"
"Apr 01","211.85","212.89","213.22","203.93","-","-0.91%"
"Mar 01","213.79","224.41","228.14","206.22","-","-5.31%"
"Feb 01","225.77","226.10","232.97","223.79","-","1.19%"
"Jan 01","223.12","237.06","237.06","215.97","-","-6.31%"
"Dec 00","238.15","238.15","238.15","238.15","-","3.66%"
"Nov 00","229.74","229.74","229.74","229.74","-","4.41%"
"Oct 00","220.03","220.03","220.03","220.03","-","11.56%"
"Sep 00","197.23","197.23","197.23","197.23","-","4.34%"
"Aug 00","189.03","189.03","189.03","189.03","-","-1.47%"
"Jul 00","191.85","191.85","191.85","191.85","-","-1.09%"
"Jun 00","193.96","193.96","193.96","193.96","-","0.85%"
"May 00","192.32","192.32","192.32","192.32","-","9.44%"
"Apr 00","175.73","175.73","175.73","175.73","-","2.44%"
"Mar 00","171.55","171.55","171.55","171.55","-","-1.41%"
"Feb 00","174.01","174.01","174.01","174.01","-","-10.24%"
"Jan 00","193.87","193.87","193.87","193.87","-","-6.82%"